day,timestamp,vo2_max,id
"2024-12-25","2024-12-25T16:45:51-05:00",27.0,"dcf0b3b4-0056-45c1-ac98-79b5b6b4b370"
"2025-06-17","2025-06-17T19:09:31-04:00",38.0,"ec1ed3f2-237c-437d-a9c0-d5137c575d83"
"2025-06-17","2025-06-17T19:18:17-04:00",39.0,"469aefb1-6793-4b8f-a175-a920aaf4acf2"
